RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,SpecCodeType,SpecCode,SpecVal,Sex,TotalNo,CatIdentifier,NoMeas,SubFactor,SubWgt,CatCatchWgt,LngtCode,LngtClass,HLNoAtLngt,DevStage,LenMeasType,DateofCalculation,Valid_Aphia
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,41,41,2015,W,107254,1,M,3,1,NA,1,NA,620,.,36,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,41,41,2015,W,107254,1,M,3,1,NA,1,NA,620,.,50,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,41,41,2015,W,107254,1,F,2,1,NA,1,NA,620,.,34,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,41,41,2015,W,107254,1,F,2,1,NA,1,NA,620,.,35,1,NA,NA,20210607,107254
HL,NS-IBTS,1,NL,74E9,GOV,60,NA,P,37F511,11,2015,W,107254,1,F,1,1,1,1,NA,NA,.,34,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,40,40,2015,W,107254,1,M,67,1,NA,1,NA,5390,.,25,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,40,40,2015,W,107254,1,M,67,1,NA,1,NA,5390,.,27,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,40,40,2015,W,107254,1,M,67,1,NA,1,NA,5390,.,28,5,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,40,40,2015,W,107254,1,M,67,1,NA,1,NA,5390,.,29,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,40,40,2015,W,107254,1,M,67,1,NA,1,NA,5390,.,30,3,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,40,40,2015,W,107254,1,M,67,1,NA,1,NA,5390,.,32,4,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,40,40,2015,W,107254,1,M,67,1,NA,1,NA,5390,.,52,2,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,40,40,2015,W,107254,1,M,67,1,NA,1,NA,5390,.,56,3,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,40,40,2015,W,107254,1,M,67,1,NA,1,NA,5390,.,57,2,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,40,40,2015,W,107254,1,M,67,1,NA,1,NA,5390,.,46,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,40,40,2015,W,107254,1,M,67,1,NA,1,NA,5390,.,47,3,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,40,40,2015,W,107254,1,M,67,1,NA,1,NA,5390,.,48,3,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,40,40,2015,W,107254,1,M,67,1,NA,1,NA,5390,.,49,1,NA,NA,20210607,107254
